Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
Abia,0,2023-2024 DHS,SE,25.4,0.4,13.3,20,57.6,12.1,0,87.4,72,25.7,26,60.6,6.6,82.4,42.9,66.7,81.3,74.7,65.8,100,69,89.1
Adamawa,0,2023-2024 DHS,NE,78.6,2,48.9,47.9,60.7,42.6,54.3,72.3,56.7,34.4,9.5,70.3,21,44.1,66.5,79.3,89.1,97.8,99.1,96.5,144,76.1
Akwa Ibom,1,2023-2024 DHS,SS,70.9,1.9,59.9,25.4,33.4,29.2,41.9,81.4,51.9,25.2,41.4,70.1,16.3,90.5,68.9,78.7,86.9,89.5,83,94.4,80,46.2
Anambra,0,2023-2024 DHS,SE,56.8,1.3,35.2,36.9,52.9,38.3,59,93.2,70.4,26,12.5,88.4,6.5,71.5,40.7,61,97.3,99.3,82,97.6,72,84.9
Bauchi,1,2023-2024 DHS,NE,76.4,2.1,44.8,50.5,62.4,53.5,68.9,63.3,55,35.9,11.7,38.6,33.9,0,49,37.1,80.1,83.8,97.9,97.8,125,67.3
Bayelsa,0,2023-2024 DHS,SS,38.9,0.6,15,34.6,72.5,20.6,0,81.3,63.2,41,25.9,71.3,13.7,52.6,40.1,40.6,60.9,89.3,87.1,65.5,73,62.7
Benue,1,2023-2024 DHS,NC,82.3,2,60.2,58.5,68.5,58.7,71.5,65.5,54.9,36.6,8.5,67.2,34.6,0,51.9,47.9,96.4,97.6,98.3,91.9,53,58.8
Borno,0,2023-2024 DHS,NE,57.3,0.9,20.6,39.6,62.4,36.1,65.9,79.8,60,6.8,10.1,69.9,46.3,52.2,42.9,48.2,81.8,91.6,96.8,94,86,77.5
Cross River,1,2023-2024 DHS,SS,80.2,1.8,64.6,51.4,62.2,30.4,43.1,89.6,76,51.9,20.1,83.4,32,70.9,81.5,89.4,96.8,93.6,95.4,96.9,60,58
Delta,0,2023-2024 DHS,SS,58,1.3,40.5,39.5,61.9,31,48.2,70.8,48.7,20.2,11.3,65.3,30.9,82,49.2,70.2,92.9,91.1,94.2,89.3,33,82.3
Ebonyi,1,2023-2024 DHS,SE,74.4,1.7,32.9,31.6,41.9,36.5,48.6,79.2,66.5,31.2,22.8,39.7,16.3,76.4,16.6,55.7,70.9,91.2,87.3,99.7,68,56.4
Edo,0,2023-2024 DHS,SS,21,0.4,9,15.4,45,11.2,0,70.2,50.7,24.4,13.3,59.1,19,71.1,53.8,37.1,84.1,96.4,77.4,92.7,19,85.6
Ekiti,0,2023-2024 DHS,SW,25.4,0.4,14.8,16.1,52.3,19.3,0,80.6,62.4,35.1,10.7,61.8,17.8,0,20.6,49.6,73.9,67.1,68.1,87.8,44,87.3
Enugu,0,2023-2024 DHS,SE,17,0.2,6.5,13.3,40.1,7.1,0,79.9,76.6,43.1,9.2,52.7,2.1,55.7,20.9,41.1,56.4,81.5,93.3,93.1,49,81.9
FCT,0,2023-2024 DHS,NC,40.3,0.6,19.4,36.6,63,27.9,58.6,87.9,76.1,26.7,13.2,88.2,38.6,57.2,35.2,55.5,98.6,98.3,94.8,83.9,60,73.2
Gombe,0,2023-2024 DHS,NE,79.2,1.9,33.7,52.2,62.9,59.1,75.8,75.8,41.3,11.6,19.3,83.8,16.8,21,3.1,85.5,97.1,97.4,99.2,99.8,157,74.9
Imo,0,2023-2024 DHS,SE,32.8,0.6,17.5,11.3,31.2,8.2,25.6,58.1,50.2,27.8,22.4,91.5,17.4,86.9,43.6,76.9,97,87.8,92.5,77,85,90.5
Jigawa,0,2023-2024 DHS,NW,86.7,2.2,38.9,55.3,61.2,73.7,81.9,65.2,41.2,15.1,14.9,69.5,17.7,69.8,11.2,62.1,97.3,93.2,99.9,94.4,161,69.7
Kaduna,0,2023-2024 DHS,NW,72,1.6,33,43.7,58.3,50.9,69.1,68.6,53.7,30.6,34.3,58,10.5,43.7,18.1,80.2,97.1,96.7,96.5,93.1,153,79
Kano,0,2023-2024 DHS,NW,87.1,2.6,46.5,67.5,75.1,82.4,88.8,68.3,59.2,48.6,25.7,45.1,25.3,42.6,46.6,76.7,86.5,99.1,94.8,98.4,158,76.1
Katsina,0,2023-2024 DHS,NW,75.8,1.7,28.3,45.7,59.2,51.6,70.5,47.8,35.6,17.5,12.9,56.3,14.7,78.6,16.1,14.3,95.2,81.2,99.1,98.5,105,73.2
Kebbi,1,2023-2024 DHS,NW,81.5,1.8,30.9,52.6,63.4,60.1,71.6,24.2,17.6,8.2,16.9,41.4,11.5,37.4,49.6,16.1,92.1,94.9,98.2,94.6,159,73
Kogi,0,2023-2024 DHS,NC,38.8,0.7,20.1,26.8,66.2,30.1,72,38.4,32.5,16.9,13.8,66.7,4.2,42,25.4,88.5,55.1,98.3,83.6,95,78,83.5
Kwara,0,2023-2024 DHS,NC,36.9,0.6,16.4,12.5,31.5,16.7,36.4,57.5,45.6,14.7,3.4,0,0,0,33.4,37.8,73.7,61.8,83.3,94.4,14,72.6
Lagos,0,2023-2024 DHS,SW,31.9,0.5,18.1,19.2,51.7,18.8,0,90.3,77.4,25.9,12.1,81.5,33.1,74.5,27.9,58.1,85,88.1,92.4,93.1,46,75.4
Nasarawa,1,2023-2024 DHS,NC,47,0.8,20.4,37.4,72.4,24.9,52.9,72.6,58.6,35,19.3,72.8,38.9,43.1,46.2,52.4,93.4,85.9,92.7,94.1,106,65.6
Niger,0,2023-2024 DHS,NC,72,1.8,42.8,48.5,64.2,55.1,70.5,36.9,29.2,17.3,10.2,65,12.9,1.7,19.2,17.3,70.1,97.5,93.2,98.5,49,83.7
Ogun,0,2023-2024 DHS,SW,33.7,0.5,18.3,10.7,28.7,12.9,0,80.8,59.7,16.3,12.4,79.9,16.1,65.4,35.4,54.4,73.5,85.6,60.9,87,60,79.3
Ondo,0,2023-2024 DHS,SW,58.4,1.1,41.8,31.5,48.8,40.1,0,62.5,54.3,30.8,5,0,0,0,49.2,49,81.8,91.9,86.9,89.7,15,85
Osun,0,2023-2024 DHS,SW,59,0.9,37.4,39.8,54.7,25.1,43.6,79.3,60.7,20.1,11.2,69.1,40.6,74.7,42.5,55.8,86.3,87.9,92.4,97.4,55,77.9
Oyo,1,2023-2024 DHS,SW,39.1,0.6,19.4,27.5,61.6,15.5,0,70.7,65.9,34.2,5.2,63.5,14.5,0,52.5,72.7,76.1,95.5,78.7,90.3,23,52.5
Plateau,1,2023-2024 DHS,NC,37.5,0.8,19.9,22.8,57,25.2,54.5,56.7,46.5,32.3,9.1,54.3,14.1,59.8,16.5,25.6,93.2,93.1,96.3,96.3,98,63.5
Rivers,0,2023-2024 DHS,SS,29.1,0.5,14.2,23.6,57.3,18.1,45.5,83.3,65.9,31.5,10.4,58.4,13.6,82.2,72,44.8,85.6,94,85.6,88.1,54,72.9
Sokoto,1,2023-2024 DHS,NW,78.5,1.9,32.2,19.3,24.5,18.8,24.2,31.4,27,16.7,6.3,59.1,33.1,0,33,38.8,92.5,59.7,99.9,96.7,109,81.6
Taraba,0,2023-2024 DHS,NE,70.9,1.7,40.6,42.6,57.6,56.2,65.3,63.7,56.7,29.4,5.1,56.1,22.6,0,41.1,50.8,57.5,92.5,94.5,96.5,126,76.9
Yobe,0,2023-2024 DHS,NE,73.4,1.9,34.1,61.9,83.8,54.5,83.8,64.8,42.8,25.2,26.3,62.1,13.1,59.1,48.5,69,97.1,81.8,98.1,89,145,66.6
Zamfara,1,2023-2024 DHS,NW,89.7,2.2,40.3,64.9,71,74.6,81.2,37.1,9.7,1.3,9.2,67.9,29.7,58.9,30.1,47,95.4,65.2,99.2,100,119,70
Abia,0,2021 MIS,SE,30.3,0.6,15,21.9,63.3,0,0,85.3,82.7,51.1,41.1,79.1,11.3,49.3,0,0,0,0,0,0,0,88.4
Adamawa,0,2021 MIS,NE,90.2,2.3,55.9,78.1,83.5,72.8,86.1,77.5,53.9,41.9,23.2,65.6,18.8,27.3,0,0,0,0,0,0,0,77.6
Akwa Ibom,1,2021 MIS,SS,41.3,0.8,22.3,19.5,43.4,0,0,43.4,30,6.9,44.2,44.4,4.9,10,0,0,0,0,0,0,0,67
Anambra,0,2021 MIS,SE,26.7,0.4,12.1,20.4,61.2,5.7,0,87.2,77.3,52.3,37.5,88.5,7.7,28.9,0,0,0,0,0,0,0,81.2
Bauchi,1,2021 MIS,NE,72.7,1.9,32.3,52.7,67.3,71.1,89.8,40.3,29.1,18.8,50.2,59.1,35.6,26.6,0,0,0,0,0,0,0,73.6
Bayelsa,0,2021 MIS,SS,31.6,0.6,14.2,22.8,60.8,22.9,0,44.7,38.5,25.3,24.2,52.2,10.4,10,0,0,0,0,0,0,0,68.1
Benue,1,2021 MIS,NC,74.8,1.7,38.5,57.6,76.8,0,0,66.2,59.1,47.7,18.3,73.1,17,61,0,0,0,0,0,0,0,63.6
Borno,0,2021 MIS,NE,47.4,0.9,8.9,38.3,75.2,55.3,0,78.7,61.3,41.5,20.2,48.1,13.6,2.9,0,0,0,0,0,0,0,77.8
Cross River,1,2021 MIS,SS,52.9,1,26,38.7,59.8,0,0,77.7,62.3,48.7,40.6,58.4,14.8,36.3,0,0,0,0,0,0,0,73.8
Delta,0,2021 MIS,SS,54.8,1,28,28.1,44.7,0,0,60.2,49.9,38.2,37.3,42.6,20.9,21.5,0,0,0,0,0,0,0,85
Ebonyi,1,2021 MIS,SE,66.2,1.5,32.7,53.9,68.2,66.5,0,92.3,82.1,42.9,26.8,72,19.7,37,0,0,0,0,0,0,0,60.9
Edo,0,2021 MIS,SS,27.9,0.6,14.6,17.4,52.4,0,0,61.7,56.3,26.2,40.8,64.1,23.4,23.4,0,0,0,0,0,0,0,78.7
Ekiti,0,2021 MIS,SW,25.4,0.4,8.7,10.8,26,0,0,74,62.6,40,19.1,41.2,6,37.4,0,0,0,0,0,0,0,107
Enugu,0,2021 MIS,SE,22.8,0.4,11.3,12.9,45.1,0,0,70.6,65.9,29.9,24.9,73.2,12.1,37.2,0,0,0,0,0,0,0,80.6
FCT,0,2021 MIS,NC,45,0.8,12.4,42.3,76,0,0,67.4,59.3,35.9,29.2,77.7,21.3,50.2,0,0,0,0,0,0,0,73.7
Gombe,0,2021 MIS,NE,81.7,2.6,44,64.9,73.2,0,0,57.2,43.3,26.7,21.7,56.4,17.4,3,0,0,0,0,0,0,0,73.6
Imo,0,2021 MIS,SE,30.9,0.6,19.5,10.6,29.6,0,0,47.5,36.6,20.6,38,77.4,15.5,28.6,0,0,0,0,0,0,0,79.8
Jigawa,0,2021 MIS,NW,88.5,2.6,48.4,70.1,75.3,86,88.6,62.9,43.1,28.5,54.5,76.3,35.5,4.6,0,0,0,0,0,0,0,68
Kaduna,0,2021 MIS,NW,82.3,2.1,41.4,62.4,74.2,60.8,72.5,65.4,43,28.1,50.6,83.8,18.4,2.3,0,0,0,0,0,0,0,81.5
Kano,0,2021 MIS,NW,85.3,2.5,38.7,64.8,75.6,76.9,93,76.3,48.4,32.6,30.9,44.5,13.6,7.3,0,0,0,0,0,0,0,77.8
Katsina,0,2021 MIS,NW,64.6,1.7,18.9,48.1,71.9,51.4,80.9,41.8,37,30.2,29.6,80.5,52.9,4.2,0,0,0,0,0,0,0,76
Kebbi,1,2021 MIS,NW,72.9,1.6,19.5,43,57.9,50.6,66.1,44.5,35.8,31.4,67.3,47.1,20.2,0,0,0,0,0,0,0,0,74.2
Kogi,0,2021 MIS,NC,31.5,0.6,13.2,21,59.7,0,0,54.3,46.7,25.7,33.8,66.7,21.1,41.9,0,0,0,0,0,0,0,81.4
Kwara,0,2021 MIS,NC,62.9,1.2,29.2,44.2,58.5,42.8,0,59.2,43.1,27.4,24.4,57.3,44.6,19.2,0,0,0,0,0,0,0,76.4
Lagos,0,2021 MIS,SW,29,0.5,13.2,9.2,27.9,0,0,69.1,58.7,30.7,34.6,73.4,26.7,40.1,0,0,0,0,0,0,0,73.4
Nasarawa,1,2021 MIS,NC,33.4,0.7,11.4,14.4,47.9,19.5,0,62.6,51.1,43.8,14.6,52.4,33,38.4,0,0,0,0,0,0,0,72.9
Niger,0,2021 MIS,NC,53.3,1.2,16,21.4,41.7,30.7,53.6,46.3,37.4,22.9,45.4,73.6,22.1,13.5,0,0,0,0,0,0,0,80.9
Ogun,0,2021 MIS,SW,39.7,0.8,21.6,18.2,38.5,0,0,54.8,41.7,35.7,25.3,39.4,24.3,30.4,0,0,0,0,0,0,0,82.9
Ondo,0,2021 MIS,SW,32.8,0.7,15.6,24.9,63.3,0,0,60,50.1,28.2,15.2,48.8,7.8,6.7,0,0,0,0,0,0,0,81.2
Osun,0,2021 MIS,SW,71.9,2,52.6,35.1,54.5,0,0,55.7,44.8,25.2,15.7,61,29.7,34,0,0,0,0,0,0,0,83
Oyo,1,2021 MIS,SW,53.7,1.1,30.5,35.6,60.5,0,0,55.8,40.1,18.9,18.3,46,34.5,18.3,0,0,0,0,0,0,0,71.1
Plateau,1,2021 MIS,NC,37.8,0.7,15.1,29.5,78,26.6,0,51.4,48.8,45.8,13.6,52.7,10.5,1.3,0,0,0,0,0,0,0,77.8
Rivers,0,2021 MIS,SS,22.6,0.4,5.6,14.4,46.2,1.4,0,79.2,63,38,30.6,58.2,4.2,23.1,0,0,0,0,0,0,0,69.5
Sokoto,1,2021 MIS,NW,68.5,1.6,27.5,40,55,40.1,56.9,61.6,43,29.2,66.1,71.1,22,2.6,0,0,0,0,0,0,0,81.2
Taraba,0,2021 MIS,NE,64.6,1.4,30,38.1,56.1,52.1,58.4,63,46.8,25.2,24.4,46.8,22.2,13.1,0,0,0,0,0,0,0,75.2
Yobe,0,2021 MIS,NE,76.4,1.9,29.8,40.7,53.1,59.3,83.9,40.1,30.3,24.3,46.5,45.3,24,8.9,0,0,0,0,0,0,0,70.3
Zamfara,1,2021 MIS,NW,66.3,1.6,26.1,46.1,67,56.9,74.8,40,30.6,27.3,47.1,51.7,32.9,10.6,0,0,0,0,0,0,0,72.5
Abia,0,2018 DHS,SE,45.4,0.8,22.9,23.9,48.1,25.2,51.4,90.6,85.3,73.7,7.7,86.6,15.8,8.5,0,0,0,0,0,0,86,83.5
Adamawa,0,2018 DHS,NE,47.7,1.3,32.7,46.8,90,37.8,89.4,72.8,37.6,4.4,27.9,49.3,6.5,27.1,0,0,0,0,0,0,104,81.1
Akwa Ibom,1,2018 DHS,SS,55.8,1.2,32.9,36.5,52.5,25.9,42.2,83.4,44.5,16.5,37.6,69.5,18,28.7,0,0,0,0,0,0,98,76
Anambra,0,2018 DHS,SE,32.8,0.6,13.5,25.4,59.7,28,79.8,81.6,65.9,43.4,13.7,97.4,7.4,58.4,0,0,0,0,0,0,58,74.8
Bauchi,1,2018 DHS,NE,84.3,1.9,31,52.7,60.8,71,80.1,59.5,40.1,14.6,49.5,71.2,16.8,13.1,0,0,0,0,0,0,147,78
Bayelsa,0,2018 DHS,SS,47.2,0.8,26.7,32.7,69.3,29.7,64.6,44.2,14.2,7.2,10,71.8,3,34.6,0,0,0,0,0,0,31,64.1
Benue,1,2018 DHS,NC,64.1,1.2,28.5,65,92.8,67.2,87.7,66.7,47.5,17.6,12.2,92.3,12.4,13.3,0,0,0,0,0,0,59,67.2
Borno,0,2018 DHS,NE,68.3,1.3,30.8,49.2,77.5,55.1,82.8,67.2,41.2,9.1,16,77.5,11.4,23.6,0,0,0,0,0,0,86,71.4
Cross River,1,2018 DHS,SS,57.5,0.8,32.3,43.4,71.9,34.3,0,83.2,75.1,32.6,16.8,83.5,19.3,25.9,0,0,0,0,0,0,80,77.6
Delta,0,2018 DHS,SS,38.5,0.6,17.6,36.5,73.6,37.6,72.5,64.9,40.1,15.1,5.2,0,0,0,0,0,0,0,0,0,53,84.9
Ebonyi,1,2018 DHS,SE,75.7,1.7,38.4,67.9,89.4,72.9,91.6,67.6,47,24.2,32.4,64.3,17.9,44.7,0,0,0,0,0,0,91,83.6
Edo,0,2018 DHS,SS,57,1.2,37.2,31.4,53.6,24.6,46.8,80.7,67.1,47.1,18.9,78.3,16.5,11.4,0,0,0,0,0,0,71,76.4
Ekiti,0,2018 DHS,SW,45.3,0.7,23.1,26.4,53.6,25.3,0,71.4,48.2,24,17.9,61.8,28.7,14.1,0,0,0,0,0,0,95,85.9
